building,street,unit,type,pdf_x0,pdf_y0,pdf_x1,pdf_y1,px_x0,px_y0,px_x1,px_y1
3701,CC,8,1BR,227.84,557.24,248.56,564.64,952.5,1934.1,1047.8,1968.1
3715,CC,1,1BR,201.94,579.44,222.66,586.84,833.3,2036.2,928.6,2070.3
3715,CC,2,1BR,201.94,572.04,222.66,579.44,833.3,2002.2,928.6,2036.2
3715,CC,3,1BR,201.94,564.64,222.66,572.04,833.3,1968.1,928.6,2002.2
3715,CC,4,1BR,201.94,557.24,222.66,564.64,833.3,1934.1,928.6,1968.1
3715,CC,5,1BR,181.22,579.44,201.94,586.84,738,2036.2,833.3,2070.3
3715,CC,6,1BR,181.22,572.04,201.94,579.44,738,2002.2,833.3,2036.2
3715,CC,7,1BR,181.22,564.64,201.94,572.04,738,1968.1,833.3,2002.2
3715,CC,8,1BR,181.22,557.24,201.94,564.64,738,1934.1,833.3,1968.1
3723,CC,1,1BR,160.5,579.44,181.22,586.84,642.7,2036.2,738,2070.3
3723,CC,2,1BR,160.5,572.04,181.22,579.44,642.7,2002.2,738,2036.2
3723,CC,3,1BR,160.5,564.64,181.22,572.04,642.7,1968.1,738,2002.2
3723,CC,4,1BR,160.5,557.24,181.22,564.64,642.7,1934.1,738,1968.1
3723,CC,5,1BR,139.78,579.44,160.5,586.84,547.4,2036.2,642.7,2070.3
3723,CC,6,1BR,139.78,572.04,160.5,579.44,547.4,2002.2,642.7,2036.2
3723,CC,7,1BR,139.78,564.64,160.5,572.04,547.4,1968.1,642.7,2002.2
3723,CC,8,1BR,139.78,557.24,160.5,564.64,547.4,1934.1,642.7,1968.1
3727,CC,1,1BR,119.06,579.44,139.78,586.84,452.1,2036.2,547.4,2070.3
3727,CC,2,1BR,119.06,572.04,139.78,579.44,452.1,2002.2,547.4,2036.2
3727,CC,3,1BR,119.06,564.64,139.78,572.04,452.1,1968.1,547.4,2002.2
3727,CC,4,1BR,119.06,557.24,139.78,564.64,452.1,1934.1,547.4,1968.1
3727,CC,5,1BR,98.34,579.44,119.06,586.84,356.8,2036.2,452.1,2070.3
3727,CC,6,1BR,98.34,572.04,119.06,579.44,356.8,2002.2,452.1,2036.2
3727,CC,7,1BR,98.34,564.64,119.06,572.04,356.8,1968.1,452.1,2002.2
3727,CC,8,1BR,98.34,557.24,119.06,564.64,356.8,1934.1,452.1,1968.1
3735,CC,1,1BR,77.62,579.44,98.34,586.84,261.5,2036.2,356.8,2070.3
3735,CC,2,1BR,77.62,572.04,98.34,579.44,261.5,2002.2,356.8,2036.2
3735,CC,3,1BR,77.62,564.64,98.34,572.04,261.5,1968.1,356.8,2002.2
3735,CC,4,1BR,77.62,557.24,98.34,564.64,261.5,1934.1,356.8,1968.1
3735,CC,5,1BR,56.9,579.44,77.62,586.84,166.1,2036.2,261.5,2070.3
3735,CC,6,1BR,56.9,572.04,77.62,579.44,166.1,2002.2,261.5,2036.2
3735,CC,7,1BR,56.9,564.64,77.62,572.04,166.1,1968.1,261.5,2002.2
3735,CC,8,1BR,56.9,557.24,77.62,564.64,166.1,1934.1,261.5,1968.1
3699,CH,1,3-4BR,269.28,501.74,290,509.14,1143.1,1678.8,1238.4,1712.8
3699,CH,2,3-4BR,269.28,494.34,290,501.74,1143.1,1644.8,1238.4,1678.8
3699,CH,3,3-4BR,248.56,501.74,269.28,509.14,1047.8,1678.8,1143.1,1712.8
3699,CH,4,3-4BR,248.56,494.34,269.28,501.74,1047.8,1644.8,1143.1,1678.8
3707,CH,1,3-4BR,227.84,501.74,248.56,509.14,952.5,1678.8,1047.8,1712.8
3707,CH,2,3-4BR,227.84,494.34,248.56,501.74,952.5,1644.8,1047.8,1678.8
3707,CH,3,3-4BR,207.12,501.74,227.84,509.14,857.2,1678.8,952.5,1712.8
3707,CH,4,3-4BR,207.12,494.34,227.84,501.74,857.2,1644.8,952.5,1678.8
3553,CL,1,2BR,1056.64,253.84,1077.36,261.24,4764.9,538.5,4860.3,572.5
3553,CL,2,2BR,1056.64,246.44,1077.36,253.84,4764.9,504.4,4860.3,538.5
3553,CL,3,2BR,1077.36,253.84,1098.08,261.24,4860.3,538.5,4955.6,572.5
3553,CL,4,2BR,1077.36,246.44,1098.08,253.84,4860.3,504.4,4955.6,538.5
3554,CL,1,2BR,1056.64,287.14,1077.36,294.54,4764.9,691.6,4860.3,725.7
3554,CL,2,2BR,1056.64,279.74,1077.36,287.14,4764.9,657.6,4860.3,691.6
3554,CL,3,2BR,1077.36,287.14,1098.08,294.54,4860.3,691.6,4955.6,725.7
3554,CL,4,2BR,1077.36,279.74,1098.08,287.14,4860.3,657.6,4955.6,691.6
3559,CL,1,2BR,1015.2,253.84,1035.92,261.24,4574.3,538.5,4669.6,572.5
3559,CL,2,2BR,1015.2,246.44,1035.92,253.84,4574.3,504.4,4669.6,538.5
3559,CL,3,2BR,1035.92,253.84,1056.64,261.24,4669.6,538.5,4764.9,572.5
3559,CL,4,2BR,1035.92,246.44,1056.64,253.84,4669.6,504.4,4764.9,538.5
